cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,12,cassiopeia-greedy,25,6,23,2,0.75,0.92,0.08,44.10,5.38,1.014259429622815087396504140
50,10,0.15,0.1,12,startle_nni,48,6,46,2,0.75,0.958333,0.041667,54.01,3.35,1.242180312787488500459981601
50,10,0.15,0.1,12,startle_nni_python,11,5,8,3,0.625,0.727273,0.272727,46.54,48.59,1.070377184912603495860165593
50,10,0.15,0.1,12,startle_ilp,11,5,8,3,0.625,0.727273,0.272727,43.48,12.60,1
50,10,0.15,0.1,12,laml,48,6,46,2,0.75,0.958333,0.041667,54.01,976.80,1.242180312787488500459981601
50,10,0.15,0.1,12,paup,11,5,8,3,0.625,0.727273,0.272727,43.48,1.42,1
50,10,0.15,0.1,12,star_cdp,48,3,43,5,0.375,0.895833,0.104167,43.48,3.42,1
50,10,0.15,0.1,12,star_cdp-rand,48,3,43,5,0.375,0.895833,0.104167,43.48,3.50,1
50,10,0.15,0.1,12,paup-sc,1,7,0,1,0.875,0.0,1.0,202.79,,4.663983440662373505059797608
50,10,0.15,0.1,12,star_cdp-sc,4,5,1,3,0.625,0.25,0.75,69.66,,1.602115915363385464581416743
50,10,0.15,0.1,12,ground-truth,8,0,0,8.0,0.0,0.0,1,43.48,,1
50,10,0.15,0.1,13,cassiopeia-greedy,25,6,23,2,0.75,0.92,0.08,44.10,5.27,1.014259429622815087396504140
50,10,0.15,0.1,13,startle_nni,48,5,45,3,0.625,0.9375,0.0625,65.29,3.72,1.501609935602575896964121435
50,10,0.15,0.1,13,startle_nni_python,11,5,8,3,0.625,0.727273,0.272727,46.54,47.66,1.070377184912603495860165593
50,10,0.15,0.1,13,startle_ilp,11,5,8,3,0.625,0.727273,0.272727,43.48,20.05,1
50,10,0.15,0.1,13,laml,48,5,45,3,0.625,0.9375,0.0625,65.29,106.04,1.501609935602575896964121435
50,10,0.15,0.1,13,paup,11,5,8,3,0.625,0.727273,0.272727,43.48,1.39,1
50,10,0.15,0.1,13,star_cdp,48,3,43,5,0.375,0.895833,0.104167,43.48,3.39,1
50,10,0.15,0.1,13,star_cdp-rand,48,3,43,5,0.375,0.895833,0.104167,43.48,3.37,1
50,10,0.15,0.1,13,paup-sc,1,7,0,1,0.875,0.0,1.0,202.79,,4.663983440662373505059797608
50,10,0.15,0.1,13,star_cdp-sc,4,5,1,3,0.625,0.25,0.75,69.66,,1.602115915363385464581416743
50,10,0.15,0.1,13,ground-truth,8,0,0,8.0,0.0,0.0,1,43.48,,1
50,10,0.15,0.1,14,cassiopeia-greedy,18,2,15,3,0.4,0.833333,0.166667,31.57,5.05,0.9214827787507297139521307647
50,10,0.15,0.1,14,startle_nni,48,4,47,1,0.8,0.979167,0.020833,45.66,3.24,1.332749562171628721541155867
50,10,0.15,0.1,14,startle_nni_python,12,2,9,3,0.4,0.75,0.25,31.57,49.71,0.9214827787507297139521307647
50,10,0.15,0.1,14,startle_ilp,12,2,9,3,0.4,0.75,0.25,31.57,12.25,0.9214827787507297139521307647
