cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,20,0.15,0.1,1,star_cdp,18,6,9,9,0.4,0.5,0.5,125.49,4.14,0.9324565314311190370040124833
50,20,0.15,0.1,1,paup-sc,7,9,1,6,0.6,0.142857,0.857143,251.54,,1.869074156635458463367513746
50,20,0.15,0.1,1,star_cdp-sc,11,8,4,7,0.533333,0.363636,0.636364,229.81,,1.707608857185317283400208055
50,20,0.15,0.1,1,ground-truth,15,0,0,15.0,0.0,0.0,1,134.58,,1
50,20,0.15,0.1,2,cassiopeia-greedy,21,6,12,9,0.4,0.571429,0.428571,127.30,5.51,1.041308793456032719836400818
50,20,0.15,0.1,2,startle_nni,16,3,4,12,0.2,0.25,0.75,122.25,3.34,1
50,20,0.15,0.1,2,startle_ilp,16,4,5,11,0.266667,0.3125,0.6875,122.25,13.63,1
50,20,0.15,0.1,2,laml,15,3,3,12,0.2,0.2,0.8,122.25,345.91,1
50,20,0.15,0.1,2,paup,19,4,8,11,0.266667,0.421053,0.578947,122.25,1.81,1
50,20,0.15,0.1,2,star_cdp,18,3,6,12,0.2,0.333333,0.666667,122.25,4.26,1
50,20,0.15,0.1,2,paup-sc,9,6,0,9,0.4,0.0,1.0,147.99,,1.210552147239263803680981595
50,20,0.15,0.1,2,star_cdp-sc,13,5,3,10,0.333333,0.230769,0.769231,209.35,,1.712474437627811860940695297
50,20,0.15,0.1,2,ground-truth,15,0,0,15.0,0.0,0.0,1,122.25,,1
50,20,0.15,0.1,3,cassiopeia-greedy,15,6,7,8,0.428571,0.466667,0.533333,112.31,5.37,1.115071485305798252581413820
50,20,0.15,0.1,3,startle_nni,13,6,5,8,0.428571,0.384615,0.615385,108.60,3.96,1.078236695790309769658459095
50,20,0.15,0.1,3,startle_ilp,14,2,2,12,0.142857,0.142857,0.857143,98.68,12.67,0.9797458300238284352660841938
50,20,0.15,0.1,3,laml,12,6,4,8,0.428571,0.333333,0.666667,108.60,299.57,1.078236695790309769658459095
50,20,0.15,0.1,3,paup,16,4,6,10,0.285714,0.375,0.625,98.68,1.24,0.9797458300238284352660841938
50,20,0.15,0.1,3,star_cdp,19,4,9,10,0.285714,0.473684,0.526316,98.68,3.65,0.9797458300238284352660841938
50,20,0.15,0.1,3,paup-sc,7,7,0,7,0.5,0.0,1.0,390.35,,3.875595710881652104845115171
50,20,0.15,0.1,3,star_cdp-sc,12,5,3,9,0.357143,0.25,0.75,229.73,,2.280877680698967434471803018
50,20,0.15,0.1,3,ground-truth,14,0,0,14.0,0.0,0.0,1,100.72,,1
50,20,0.15,0.1,4,cassiopeia-greedy,17,6,10,7,0.461538,0.588235,0.411765,103.38,6.00,1
50,20,0.15,0.1,4,startle_nni,15,8,10,5,0.615385,0.666667,0.333333,128.21,3.78,1.240181853356548655445927646
50,20,0.15,0.1,4,startle_ilp,13,4,4,9,0.307692,0.307692,0.692308,103.38,14.10,1
