"NLIN","NCHR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS"
50,10,"50x10",16,"PAUP*-SC",9,2,7,0,2,0.777778,0.0,1.0,1.0,0.2222222222222222,0.36363636363636365,7,242.62,3.189430787432628,"NA"
50,10,"50x10",16,"StarCDP-SC",9,7,5,3,4,0.555556,0.428571,0.571429,0.5714285714285714,0.4444444444444444,0.5,8,114.09,1.49980281319837,"NA"
50,10,"50x10",16,"Startle-ILP",9,9,6,6,3,0.666667,0.666667,0.333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,76.07,1.0,13.78
50,10,"50x10",17,"Startle-NNI (C++)",14,15,6,7,8,0.428571,0.466667,0.533333,0.5333333333333333,0.5714285714285714,0.5517241379310345,13,91.58,1.0495072198028879,3.53
50,10,"50x10",17,"LAML",14,14,5,5,9,0.357143,0.357143,0.642857,0.6428571428571429,0.6428571428571429,0.6428571428571429,10,91.58,1.0495072198028879,125.94
50,10,"50x10",17,"Cassiopeia-Greedy",14,15,3,4,11,0.214286,0.266667,0.733333,0.7333333333333333,0.7857142857142857,0.7586206896551724,7,85.29,0.9774237909695164,6.33
50,10,"50x10",17,"Startle-NNI (Py)",14,17,3,6,11,0.214286,0.352941,0.647059,0.6470588235294118,0.7857142857142857,0.7096774193548386,9,85.29,0.9774237909695164,130.36
50,10,"50x10",17,"StarCDP-Rand",14,19,3,8,11,0.214286,0.421053,0.578947,0.5789473684210527,0.7857142857142857,0.6666666666666666,11,85.29,0.9774237909695164,4.07
50,10,"50x10",17,"StarCDP-Bias",14,17,2,5,12,0.142857,0.294118,0.705882,0.7058823529411765,0.8571428571428571,0.7741935483870969,7,85.29,0.9774237909695164,4.06
50,10,"50x10",17,"PAUP*",14,16,3,5,11,0.214286,0.3125,0.6875,0.6875,0.7857142857142857,0.7333333333333333,8,85.29,0.9774237909695164,1.82
50,10,"50x10",17,"PAUP*-SC",14,10,4,0,10,0.285714,0.0,1.0,1.0,0.7142857142857143,0.8333333333333334,4,122.42,1.4029337611735044,"NA"
50,10,"50x10",17,"StarCDP-SC",14,16,3,5,11,0.214286,0.3125,0.6875,0.6875,0.7857142857142857,0.7333333333333333,8,85.29,0.9774237909695164,"NA"
50,10,"50x10",17,"Startle-ILP",14,17,3,6,11,0.214286,0.352941,0.647059,0.6470588235294118,0.7857142857142857,0.7096774193548386,9,85.29,0.9774237909695164,21.82
50,10,"50x10",18,"Startle-NNI (C++)",12,15,6,9,6,0.5,0.6,0.4,0.4,0.5,0.4444444444444444,15,86.88,1.3428129829984543,3.61
50,10,"50x10",18,"LAML",12,16,6,10,6,0.5,0.625,0.375,0.375,0.5,0.4285714285714286,16,79.06,1.2219474497681608,663.36
50,10,"50x10",18,"Cassiopeia-Greedy",12,14,5,7,7,0.416667,0.5,0.5,0.5,0.5833333333333334,0.5384615384615384,12,64.7,1.0,5.4
