"SILENCING","PRIOR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS","CONTRACT"
0,3,"0%",4,"StarCDP-Bias",248,248,98,98,150,0.395161,0.395161,0.604839,0.6048387096774194,0.6048387096774194,0.6048387096774194,196,1699.96,0.981557826664357,58.16,"NONE"
0,3,"0%",4,"PAUP*",248,230,99,81,149,0.399194,0.352174,0.647826,0.6478260869565218,0.6008064516129032,0.6234309623430963,180,1705.05,0.9844967954269876,41.72,"NONE"
0,3,"0%",4,"PAUP*-SC",248,155,120,27,128,0.483871,0.174194,0.825806,0.8258064516129032,0.5161290322580645,0.6352357320099256,147,"NA","NA","NA","NONE"
0,3,"0%",4,"StarCDP-SC",248,161,116,29,132,0.467742,0.180124,0.819876,0.8198757763975155,0.532258064516129,0.6454767726161369,145,"NA","NA","NA","NONE"
0,3,"0%",5,"Startle-NNI (C++)",248,248,165,165,83,0.665323,0.665323,0.334677,0.3346774193548387,0.3346774193548387,0.3346774193548387,330,1913.41,1.167916938796687,20.6,"NONE"
0,3,"0%",5,"LAML",248,248,166,166,82,0.669355,0.669355,0.330645,0.33064516129032256,0.33064516129032256,0.33064516129032256,332,1911.23,1.1665862992962261,9507.24,"NONE"
0,3,"0%",5,"Cassiopeia-Greedy",248,248,208,208,40,0.83871,0.83871,0.16129,0.16129032258064516,0.16129032258064516,0.16129032258064516,416,2526.84,1.5423454657543445,18.38,"NONE"
0,3,"0%",5,"StarCDP-Rand",248,248,87,87,161,0.350806,0.350806,0.649194,0.6491935483870968,0.6491935483870968,0.6491935483870968,174,1601.37,0.9774523747032002,69.24,"NONE"
0,3,"0%",5,"StarCDP-Bias",248,248,104,104,144,0.419355,0.419355,0.580645,0.5806451612903226,0.5806451612903226,0.5806451612903226,208,1601.37,0.9774523747032002,66.83,"NONE"
0,3,"0%",5,"PAUP*",248,229,98,79,150,0.395161,0.344978,0.655022,0.6550218340611353,0.6048387096774194,0.6289308176100629,177,1606.46,0.9805592348212487,50.3,"NONE"
